"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -8.134759566,      -7.607013702,      -8.282329204,      -8.748887892,      -7.238408129
          0,           0,           1,      -8.272574691,      -7.635235504,      -8.275921072,      -8.748881391,      -7.238360432
          0,           0,           2,      -8.371790315,      -7.647720316,      -8.260419525,      -8.748880196,      -7.238300411
          0,           0,           3,      -8.442787118,      -7.653888671,      -8.240710726,      -8.748882859,       -7.23822679
          0,           0,           4,      -8.475658016,      -7.656807688,      -8.223554569,      -8.748887552,      -7.238138054
          0,           0,           5,      -8.462860333,      -7.657080573,      -8.213120537,      -8.748892308,      -7.238032757
          0,           0,           6,       -8.41104624,      -7.654317245,      -8.210855729,      -8.748895443,      -7.237910002
          0,           0,           7,      -8.337455103,      -7.647824915,      -8.217697039,      -8.748895711,      -7.237767373
          0,           0,           8,      -8.259658995,      -7.637219127,      -8.233663788,        -8.7488937,      -7.237607644
          0,           0,           9,      -8.189431626,      -7.623252675,      -8.255131422,      -8.748885349,      -7.237426965
          0,           0,          10,      -8.137584626,      -7.609593805,      -8.275335393,       -8.74885069,      -7.237216502
          0,           0,          11,      -8.126892602,      -7.605810784,      -8.288324997,      -8.748818604,       -7.23701042
          0,           0,          12,      -8.129977488,      -7.606611147,       -8.29522587,      -8.748789112,      -7.236803254
          0,           0,          13,      -8.136083059,      -7.608561079,      -8.296381964,      -8.748762434,       -7.23659704
          0,           0,          14,      -8.140936367,      -7.610177488,      -8.293265225,      -8.748737064,      -7.236386426
          0,           0,          15,      -8.143465519,      -7.611074711,      -8.288413523,      -8.748712016,      -7.236171121
          0,           0,          16,      -8.144061542,      -7.611333192,      -8.284021286,      -8.748688193,      -7.235957741
          0,           0,          17,      -8.143532639,       -7.61116481,        -8.2812234,      -8.748664953,      -7.235744705
          0,           0,          18,      -8.142569026,      -7.610768494,      -8.280198225,      -8.748641868,      -7.235530726
          0,           0,          19,      -8.141583605,      -7.610285037,      -8.280546202,      -8.748619889,       -7.23531942
          0,           0,          20,      -8.140750634,      -7.609797982,      -8.281648207,      -8.748598526,      -7.235107326
          0,           0,          21,      -8.140100603,      -7.609349536,      -8.282914541,      -8.748577743,      -7.234893673
          0,           0,          22,      -8.139600937,      -7.608956206,      -8.283931327,      -8.748556167,      -7.234672358
          0,           0,          23,      -8.139204259,       -7.60861985,      -8.284501411,      -8.748533875,      -7.234444514
          0,           0,          24,      -8.138869874,      -7.608334152,       -8.28461088,      -8.748513077,      -7.234220174
          0,           0,          25,      -8.138569541,      -7.608088512,      -8.284358273,      -8.748493125,      -7.233997186
          0,           0,          26,         -8.138286,      -7.607871479,      -8.283887296,      -8.748471537,      -7.233763544
          0,           0,          27,      -8.138010021,      -7.607672136,      -8.283327155,      -8.748450583,      -7.233530198
          0,           0,          28,       -8.13773766,      -7.607482454,      -8.282779652,      -8.748429813,      -7.233294856
          0,           0,          29,      -8.137468115,      -7.607296894,      -8.282303355,      -8.748410462,       -7.23306271
          0,           0,          30,      -8.137202155,      -7.607112203,       -8.28192129,      -8.748391802,      -7.232830157
          0,           0,          31,      -8.136940936,      -7.606927125,      -8.281634501,      -8.748373823,      -7.232596947
          0,           0,          32,       -8.13668512,      -7.606741114,      -8.281427469,      -8.748356274,      -7.232362897
          0,           0,          33,      -8.136434243,      -7.606553925,      -8.281286448,      -8.748340031,       -7.23213189
          0,           0,          34,      -8.136186782,      -7.606365149,      -8.281194743,      -8.748325344,       -7.23190496
          0,           0,          35,       -8.13594072,      -7.606174548,      -8.281145732,      -8.748312213,      -7.231681784
          0,           0,          36,       -8.13569423,       -7.60598196,      -8.281129432,      -8.748298683,      -7.231453216
          0,           0,          37,       -8.13544623,      -7.605787628,       -8.28113965,      -8.748284926,       -7.23122057
          0,           0,          38,      -8.135196703,      -7.605592501,      -8.281166715,      -8.748272628,      -7.230991461
          0,           0,          39,      -8.134946807,      -7.605398148,      -8.281199491,      -8.748261885,      -7.230766158
          0,           0,          40,      -8.134698586,      -7.605206446,       -8.28122443,      -8.748251786,       -7.23054074
          0,           0,          41,      -8.134454474,      -7.605018903,      -8.281229985,      -8.748241392,      -7.230310625
          0,           0,          42,      -8.134216641,      -7.604837071,      -8.281208089,      -8.748230211,      -7.230073722
          0,           0,          43,      -8.133986473,      -7.604661299,      -8.281151348,      -8.748219561,      -7.229836658
          0,           0,          44,        -8.1337645,      -7.604491678,      -8.281058611,      -8.748210256,      -7.229602789
          0,           0,          45,      -8.133550399,      -7.604327677,      -8.280933761,      -8.748201282,       -7.22936538
          0,           0,          46,      -8.133343088,      -7.604168202,      -8.280783799,      -8.748193777,      -7.229131669
          0,           0,          47,      -8.133141001,      -7.604011917,      -8.280618011,      -8.748187772,      -7.228901796
          0,           0,          48,      -8.132942433,      -7.603857577,      -8.280447287,      -8.748182212,      -7.228671332
          0,           0,          49,      -8.132745876,      -7.603704208,      -8.280280631,      -8.748177034,      -7.228443366
          0,           0,          50,       -8.13255028,      -7.603551203,      -8.280126111,       -8.74817216,      -7.228228515
          0,           0,          51,      -8.132355112,      -7.603398253,      -8.279987637,      -8.748168718,      -7.228015656
          0,           0,          52,      -8.132160348,      -7.603245522,      -8.279869664,      -8.748166253,      -7.227800729
          0,           0,          53,      -8.131966446,      -7.603093351,      -8.279772689,      -8.748165191,      -7.227587929
          0,           0,          54,      -8.131774198,      -7.602942323,      -8.279695553,      -8.748165422,      -7.227376889
          0,           0,          55,      -8.131584528,       -7.60279308,      -8.279634728,      -8.748167203,      -7.227169112
          0,           0,          56,      -8.131398381,      -7.602646147,      -8.279587086,      -8.748170439,      -7.226964112
          0,           0,          57,      -8.131216385,      -7.602502185,      -8.279549612,      -8.748174119,      -7.226757266
          0,           0,          58,      -8.131038788,      -7.602361317,       -8.27951855,      -8.748178569,      -7.226550113
          0,           0,          59,      -8.130865597,      -7.602223602,      -8.279490117,      -8.748182043,      -7.226335383
          0,           0,          60,      -8.130696647,      -7.602088934,      -8.279460571,      -8.748186658,      -7.226122625
          0,           0,          61,      -8.130531617,      -7.601957076,      -8.279428089,      -8.748192141,      -7.225910928
          0,           0,          62,      -8.130370077,      -7.601827664,      -8.279390191,      -8.748199178,      -7.225702905
          0,           0,          63,      -8.130211568,      -7.601700633,      -8.279346619,       -8.74820777,      -7.225498292
          0,           0,          64,      -8.130055707,      -7.601575488,      -8.279296065,      -8.748217855,      -7.225296997
          0,           0,          65,      -8.129902132,      -7.601451939,      -8.279239598,      -8.748227919,      -7.225093035
          0,           0,          66,      -8.129750529,      -7.601329984,      -8.279178206,      -8.748238798,      -7.224889574
          0,           0,          67,       -8.12960074,      -7.601209512,      -8.279113737,      -8.748250019,      -7.224684449
          0,           0,          68,       -8.12945271,      -7.601090542,      -8.279047387,      -8.748262805,      -7.224482948
          0,           0,          69,      -8.129306457,      -7.600972936,      -8.278981439,      -8.748277193,      -7.224285156
          0,           0,          70,      -8.129162006,      -7.600856645,      -8.278918922,      -8.748292194,      -7.224086383
          0,           0,          71,      -8.129019397,      -7.600741889,      -8.278860381,      -8.748308286,       -7.22388889
          0,           0,          72,      -8.128878795,      -7.600628762,      -8.278806078,      -8.748325977,      -7.223695106
          0,           0,          73,      -8.128740435,      -7.600517472,      -8.278758206,      -8.748344752,      -7.223502229
          0,           0,          74,      -8.128604596,      -7.600408209,      -8.278715307,      -8.748364291,      -7.223308404
          0,           0,          75,      -8.128471537,      -7.600301152,      -8.278679136,      -8.748385413,       -7.22311823
          0,           0,          76,       -8.12834136,      -7.600196297,      -8.278647341,      -8.748407538,       -7.22292588
          0,           0,          77,      -8.128213978,      -7.600093527,      -8.278617434,      -8.748430642,      -7.222733888
          0,           0,          78,      -8.128089213,      -7.599992552,      -8.278594683,      -8.748454451,      -7.222541155
