"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -9.001226989,      -5.727170458,      -7.751390104,       -3.88491898,      -5.237364574,      0.1940433762
          0,           0,           1,      -9.001322211,      -5.725389345,      -7.751605533,      -3.883682366,      -5.237419454,       0.193923644
          0,           0,           2,      -9.001368674,       -5.72654864,      -7.747989046,      -3.884159627,      -5.237474292,      0.1937967582
          0,           0,           3,      -9.001508063,      -5.726824535,      -7.752481457,      -3.884520243,      -5.237529109,      0.1936837694
          0,           0,           4,       -9.00160889,      -5.727071898,       -7.75156873,      -3.884730598,      -5.237583921,      0.1935627486
          0,           0,           5,      -9.001717669,      -5.727153395,      -7.751332099,      -3.884861849,      -5.237638714,      0.1934398601
          0,           0,           6,      -9.001812697,      -5.727223256,      -7.750873213,       -3.88492413,       -5.23769349,      0.1933162725
          0,           0,           7,      -9.001910077,      -5.727257901,      -7.751074563,        -3.8849733,      -5.237748244,      0.1931943212
          0,           0,           8,      -9.002006678,      -5.727287859,      -7.751222589,      -3.885005071,      -5.237802978,      0.1930730999
          0,           0,           9,      -9.002104664,      -5.727309639,      -7.751376062,      -3.885035879,       -5.23785769,      0.1929519503
          0,           0,          10,      -9.002202328,      -5.727329563,       -7.75147425,      -3.885058512,      -5.237912382,      0.1928306016
