"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
0, -3.333300000000000e-01, 2.220446049250313e-16, 1.336155977528128e+00, 9.260637212819043e+01, 0.000000000000000e+00, 2.908824497599314e+05, 4.054073998010013e-01, 3.045898559726301e+04
1, -2.932629762990000e-01, 2.220446049250313e-16, 1.336137338238864e+00, 9.260150189923112e+01, 0.000000000000000e+00, 2.908817922964678e+05, 2.375164082446195e-01, 1.891920829748018e+04
2, -2.579638554210000e-01, 2.220446049250313e-16, 1.336155185704693e+00, 9.259897898214035e+01, 0.000000000000000e+00, 2.908820568495797e+05, 1.846906406030310e-01, 1.560780358619089e+04
3, -2.268587402450000e-01, 2.220446049250313e-16, 1.336143793848025e+00, 9.259459861910568e+01, 0.000000000000000e+00, 2.908826232871769e+05, 1.660526951878535e-01, 1.465290477827239e+04
4, -1.994419202700000e-01, 2.220446049250313e-16, 1.336150687847212e+00, 9.258918111235580e+01, 0.000000000000000e+00, 2.908833200550106e+05, 1.586794087214271e-01, 1.437733360800025e+04
5, -1.752676497180000e-01, 2.220446049250313e-16, 1.336151069234715e+00, 9.258375795204462e+01, 0.000000000000000e+00, 2.908842221605497e+05, 1.553816433904915e-01, 1.429827779686781e+04
6, -1.539429005510000e-01, 2.220446049250313e-16, 1.336164661179073e+00, 9.257780914268358e+01, 0.000000000000000e+00, 2.908852250303101e+05, 1.537279351176492e-01, 1.427719432591561e+04
7, -1.351209725690000e-01, 2.220446049250313e-16, 1.336164891792402e+00, 9.256991961967888e+01, 0.000000000000000e+00, 2.908862762355726e+05, 1.528194674023787e-01, 1.427398580741358e+04
8, -1.184958567280000e-01, 2.220446049250313e-16, 1.336172197925164e+00, 9.256110415319904e+01, 0.000000000000000e+00, 2.908873917360745e+05, 1.522805659150472e-01, 1.427583390389774e+04
9, -1.037972600030000e-01, 2.220446049250313e-16, 1.336177622049000e+00, 9.255202745650756e+01, 0.000000000000000e+00, 2.908886381546872e+05, 1.519435966330015e-01, 1.427913464363502e+04
10, -9.078621093630000e-02, 2.220446049250313e-16, 1.336186506635319e+00, 9.254135521971624e+01, 0.000000000000000e+00, 2.908899181391840e+05, 1.517221899410678e-01, 1.428246324662034e+04
11, -7.925117441300000e-02, 2.220446049250313e-16, 1.336192861665388e+00, 9.252786868707204e+01, 0.000000000000000e+00, 2.908911703277674e+05, 1.515715875548756e-01, 1.428552758759452e+04
12, -6.900461249730000e-02, 2.220446049250313e-16, 1.336201645246175e+00, 9.251224134805334e+01, 0.000000000000000e+00, 2.908924478356795e+05, 1.514645354497589e-01, 1.428805238772552e+04
13, -5.987993541990000e-02, 2.220446049250313e-16, 1.336209959864163e+00, 9.250068772702136e+01, 0.000000000000000e+00, 2.908942148598735e+05, 1.513884407898090e-01, 1.429036073108783e+04
14, -5.172879314310000e-02, 2.220446049250313e-16, 1.336219862533246e+00, 9.250291225683738e+01, 0.000000000000000e+00, 2.908971887253067e+05, 1.513438702198578e-01, 1.429321418408047e+04
15, -4.441866346870000e-02, 2.220446049250313e-16, 1.336230372158381e+00, 9.251540929200046e+01, 0.000000000000000e+00, 2.909012125568829e+05, 1.513440131325006e-01, 1.429777133066431e+04
16, -3.783069747710000e-02, 2.220446049250313e-16, 1.336242846900204e+00, 9.248786977156335e+01, 0.000000000000000e+00, 2.909029034483523e+05, 1.513713412335650e-01, 1.430273029995433e+04
17, -3.185778726780000e-02, 2.220446049250313e-16, 1.336256383832557e+00, 9.232341620388992e+01, 0.000000000000000e+00, 2.908955940763532e+05, 1.514015113248703e-01, 1.430333652562037e+04
18, -2.640282458740000e-02, 2.220446049250313e-16, 1.336270963379097e+00, 9.201623669655528e+01, 0.000000000000000e+00, 2.908788124812843e+05, 1.520633489621417e-01, 1.431583788649016e+04
19, -2.137712203200000e-02, 2.220446049250313e-16, 1.336287873222006e+00, 9.196635568340507e+01, 0.000000000000000e+00, 2.908803040998317e+05, 1.534335248270315e-01, 1.434971276675692e+04
20, -1.669897115810000e-02, 2.220446049250313e-16, 1.336313636367707e+00, 9.313515951287302e+01, 0.000000000000000e+00, 2.909688749846653e+05, 1.573184570198664e-01, 1.449097391530528e+04
21, -1.229231405650000e-02, 2.220446049250313e-16, 1.336349481846165e+00, 9.603088243021476e+01, 0.000000000000000e+00, 2.911912982676211e+05, 3.961354596633942e-01, 1.921477545358962e+04
22, -8.085506794949999e-03, 2.220446049250313e-16, 1.336437148205434e+00, 9.721481838831689e+01, 0.000000000000000e+00, 2.913162122562780e+05, 2.493056564884097e+00, 3.482392064790140e+04
23, -4.010154622500000e-03, 2.220446049250313e-16, 1.336675438170954e+00, 8.300837184493140e+01, 0.000000000000000e+00, 2.904241287838354e+05, 1.502035528357380e+01, 7.963997588032256e+04
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.324402539666063e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.877385790670220e+05, 1.000000000000000e-10, 2.794054912904657e+09
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.325502670907398e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876547431289158e+05, 1.000000000000000e-10, 2.789334017792249e+09
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.326347469890658e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876827868533181e+05, 1.000000000000000e-10, 2.786403074938792e+09
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.326629448706696e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876800762233088e+05, 1.000000000000000e-10, 2.785336159012798e+09
