"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -1.305238596,      -17.87173322,      -18.21515019,      -4.994196415,      -1.786423921
          0,           0,           1,      -1.505599048,      -1.020932681,       -2.62662796,      -4.989695283,      -1.388162997
          0,           0,           2,      -1.767437846,      -1.312420584,       -2.75757675,       -4.98844991,      -1.597618328
          0,           0,           3,       -1.89790063,      -1.424917303,      -2.746117139,      -4.988589147,      -1.675573829
          0,           0,           4,      -1.964786575,      -1.494624515,      -2.617700308,      -4.988815394,      -1.702775782
          0,           0,           5,      -2.029451157,      -1.560764176,       -2.47541977,      -4.989000463,      -1.716303824
          0,           0,           6,       -2.07058935,      -1.615732201,      -2.348558666,       -4.98922609,      -1.725387341
          0,           0,           7,      -2.072285127,      -1.654741901,      -2.261925277,      -4.989632637,      -1.730713265
          0,           0,           8,      -2.045409374,      -1.675510355,      -2.202684558,      -4.990501252,      -1.732841262
          0,           0,           9,      -2.008125589,      -1.683859337,      -2.155701624,      -4.992390263,      -1.732970718
          0,           0,          10,      -1.980467704,      -1.687855827,      -2.148542277,      -4.996463476,      -1.731875894
          0,           0,          11,      -1.969223774,      -1.693775058,       -2.18317792,      -5.005622052,      -1.731662306
          0,           0,          12,      -1.980248205,      -1.706724061,      -2.234954825,      -5.026618015,       -1.73842265
          0,           0,          13,       -2.01753302,        -1.7235492,      -2.256704491,      -5.062603788,      -1.759372069
          0,           0,          14,      -2.073457162,      -1.743771885,      -2.250499409,      -5.099871388,       -1.79185112
          0,           0,          15,      -2.150713064,      -1.760370689,      -2.249354982,      -5.143515274,      -1.835330871
          0,           0,          16,      -2.240686954,      -1.770935787,      -2.268427106,      -5.192453586,      -1.891676528
          0,           0,          17,       -2.33619031,       -1.77128646,      -2.301902338,      -5.248074765,      -1.959790124
          0,           0,          18,      -2.393539952,      -1.766685387,      -2.348462925,      -5.307230917,      -2.032850334
          0,           0,          19,      -2.388452092,       -1.75984798,      -2.414105775,      -5.362739994,      -2.105582374
          0,           0,          20,      -2.322336962,      -1.753038185,       -2.50840538,      -5.410063402,      -2.170419219
          0,           0,          21,      -2.246258129,      -1.741536095,      -2.637520034,      -5.449515275,      -2.216648643
          0,           0,          22,      -2.147063536,      -1.713232107,      -2.799115943,      -5.503593325,      -2.254147007
          0,           0,          23,      -2.121399692,      -1.687198511,      -2.926844804,      -5.755395087,      -2.400121727
          0,           0,          24,      -2.153574309,      -1.700864698,      -2.910481849,      -6.006483248,      -2.520173781
